id,id2
90417,90418
90417,90483
90417,90485
90417,90486
90418,90490
90418,90492
90418,90493
90480,97101
90480,97102
90480,97103
90480,97104
90480,97105
90480,97106
90480,97109
90480,97110
90480,97111
90480,97112
90480,97113
90481,97201
90481,97202
90481,97203
90481,97204
90481,97205
90481,97206
90481,97207
90481,97208
90481,97209
90481,97210
90483,97401
90483,97402
90483,97403
90483,97404
90483,97405
90483,97406
90483,97407
90483,97408
90483,97409
90483,97410
90484,97501
90484,97502
90484,97503
90484,97504
90484,97505
90484,97506
90484,97507
90484,97508
90484,97509
90484,97510
90485,97601
90485,97602
90485,97603
90485,97604
90485,97605
90485,97606
90485,97607
90485,97608
90486,97801
90486,97802
90486,97803
90486,97804
90486,97805
90486,97806
90486,97807
90486,97808
01010,68101
01010,68201
01010,68316
01010,68415
01012,68101
01012,68201
01012,68315
01012,01012-1
01012-1,68414
01012-1,68415
01026,37131
01026,37242
01026,01026-1
01026-1,37343
01026-1,37344
01026-1,37345
01032,37252
01032,01032-1
01032-1,37131
01032-1,37132
01032-1,37151
01032-1,37161
01032-1,37253
01032-1,37255
01032-1,37262
01032-1,37356
01032-1,37363
01156,37161
01156,37233
01156,37234
01156,37252
01156,37262
01156,37335
01156,37363
01156,37438
01157,01157-1
01157,01157-2
01157,37161
01157,37233
01157,37242
01157,37252
01157,37343
01157,37344
01157-1,37262
01157-1,37345
01157-2,37363
01157-2,37481
01158,01158-1
01158,37161
01158,37233
01158,37242
01158,37252
01158,37253
01158,37357
01158,37459
01158-1,37356
01158-1,37373
01158-1,37458
02057,35383
02057,37233
02057,02057-1
02057-1,35363
02057-1,37131
02057-1,37132
02057-1,37151
02057-1,37161
02064,02064-1
02064-1,31097
02064-1,31245
02064-1,31247
02064-1,31255
02064-1,31257
02064-1,31258
02064-1,31276
02064-1,31282
02065,37151
02065,02065-1
02065,31250
02065-1,31005
02065-1,31075
02065-1,31256
02065-1,32146
02065-1,42028
02065-1,42913
02066,31264
02066,02066-1
02066-1,31080
02066-1,31241
02066-1,31248
02066-1,31249
02066-1,31262
02066-1,31263
02067,31080
02067,31260
02067,31777
02067,41019
02080,02080-1
02080,31245
02080,31247
02080,31255
02080,31257
02080,31258
02080,31276
02080,31280
02080-1,31097
02080-1,31282
02080-1,48270
02081,31005
02081,31250
02081,32146
02081,37131
02081,37151
